train	direction	days	taipei	banqiao	taoyuan	hsinchu	taichung	chiayi	tainan	zuoying
0551	south	1,2,3,4,5,6,7	-	-	-	-	06:30	06:57	07:17	07:30
0605	south	1,2,3,4,5,6,7	06:30	06:38	06:52	07:05	07:32	07:57	08:16	08:30
0103	south	1,2,3,4,5,6,7	06:36	06:44	-	-	07:28	-	-	08:12
0609	south	1,2,3,4,5,6,7	07:00	07:08	07:21	07:33	08:01	08:26	08:45	09:00
1611	south	            6	07:18	07:26	07:39	07:51	08:19	08:44	09:03	09:18
0111	south	1,2,3,4,5,6,7	07:30	07:38	-	-	08:22	-	-	09:06
0613	south	1,2,3,4,5,6,7	07:36	07:44	07:57	08:10	08:38	09:02	09:21	09:36
1615	south	    1,2,3,4,5	07:48	07:56	08:09	08:22	08:50	09:14	09:33	09:48
0115	south	1,2,3,4,5,6,7	07:54	08:02	-	-	08:46	-	-	09:30
0617	south	1,2,3,4,5,6,7	08:00	08:08	08:21	08:33	09:01	09:26	09:45	10:00
1117	south	            6	08:12	08:20	-	-	09:04	-	-	09:48
1619	south	          1,6	08:18	08:26	08:39	08:51	09:19	09:44	10:03	10:18
0119	south	1,2,3,4,5,6,7	08:30	08:38	-	-	09:22	-	-	10:06
0621	south	1,2,3,4,5,6,7	08:36	08:44	08:57	09:10	09:38	10:02	10:21	10:36
0123	south	1,2,3,4,5,6,7	08:54	09:02	-	-	09:46	-	-	10:30
0625	south	1,2,3,4,5,6,7	09:00	09:08	09:21	09:33	10:01	10:26	10:45	11:00
1125	south	            6	09:12	09:20	-	-	10:04	-	-	10:48
1627	south	    1,2,3,4,6	09:18	09:26	09:39	09:51	10:19	10:44	11:03	11:18
0127	south	1,2,3,4,5,6,7	09:30	09:38	-	-	10:22	-	-	11:06
0629	south	1,2,3,4,5,6,7	09:36	09:44	09:57	10:10	10:38	11:02	11:21	11:36
0131	south	1,2,3,4,5,6,7	09:54	10:02	-	-	10:46	-	-	11:30
0633	south	1,2,3,4,5,6,7	10:00	10:08	10:21	10:33	11:01	11:26	11:45	12:00
1635	south	          6,7	10:18	10:26	10:39	10:51	11:19	11:44	12:03	12:18
0135	south	1,2,3,4,5,6,7	10:30	10:38	-	-	11:22	-	-	12:06
0637	south	1,2,3,4,5,6,7	10:36	10:44	10:57	11:10	11:38	12:02	12:21	12:36
0139	south	1,2,3,4,5,6,7	10:54	11:02	-	-	11:46	-	-	12:30
0641	south	1,2,3,4,5,6,7	11:00	11:08	11:21	11:33	12:01	12:26	12:45	13:00
0143	south	1,2,3,4,5,6,7	11:30	11:38	-	-	12:22	-	-	13:06
0645	south	1,2,3,4,5,6,7	11:36	11:44	11:57	12:10	12:38	13:02	13:21	13:36
0649	south	1,2,3,4,5,6,7	12:00	12:08	12:21	12:33	13:01	13:26	13:45	14:00
0151	south	1,2,3,4,5,6,7	12:30	12:38	-	-	13:22	-	-	14:06
0653	south	1,2,3,4,5,6,7	12:36	12:44	12:57	13:10	13:38	14:02	14:21	14:36
1155	south	            5	12:54	13:02	-	-	13:46	-	-	14:30
0657	south	1,2,3,4,5,6,7	13:00	13:08	13:21	13:33	14:01	14:26	14:45	15:00
0159	south	1,2,3,4,5,6,7	13:30	13:38	-	-	14:22	-	-	15:06
0661	south	1,2,3,4,5,6,7	13:36	13:44	13:57	14:10	14:38	15:02	15:21	15:36
1163	south	          6,7	13:54	14:02	-	-	14:46	-	-	15:30
0701	south	1,2,3,4,5,6,7	14:00	14:08	14:21	14:33	15:01	15:26	15:45	16:00
0203	south	1,2,3,4,5,6,7	14:30	14:38	-	-	15:22	-	-	16:06
0705	south	1,2,3,4,5,6,7	14:36	14:44	14:57	15:10	15:38	16:02	16:21	16:36
1207	south	          6,7	14:54	15:02	-	-	15:46	-	-	16:30
0709	south	1,2,3,4,5,6,7	15:00	15:08	15:21	15:33	16:01	16:26	16:45	17:00
1711	south	            7	15:18	15:26	15:39	15:51	16:19	16:44	17:03	17:18
0211	south	1,2,3,4,5,6,7	15:30	15:38	-	-	16:22	-	-	17:06
0713	south	1,2,3,4,5,6,7	15:36	15:44	15:57	16:10	16:38	17:02	17:21	17:36
1215	south	        5,6,7	15:54	16:02	-	-	16:46	-	-	17:30
0717	south	1,2,3,4,5,6,7	16:00	16:08	16:21	16:33	17:01	17:26	17:45	18:00
1719	south	          5,7	16:18	16:26	16:39	16:51	17:19	17:44	18:03	18:18
0219	south	1,2,3,4,5,6,7	16:30	16:38	-	-	17:22	-	-	18:06
0721	south	1,2,3,4,5,6,7	16:36	16:44	16:57	17:10	17:38	18:02	18:21	18:36
1223	south	        5,6,7	16:54	17:02	-	-	17:46	-	-	18:30
